obsolete	replacement
MONDO:0000002	MONDO:0009299
MONDO:0000010	MONDO:0008926
MONDO:0000013	MONDO:0008982
MONDO:0000016	MONDO:0005010
MONDO:0000017	MONDO:0011791
MONDO:0000018	MONDO:0016107
MONDO:0000019	MONDO:0019287
MONDO:0000020	MONDO:0017319
MONDO:0000021	MONDO:0018770
MONDO:0000024	MONDO:0005508
MONDO:0000025	MONDO:0018768
MONDO:0000026	MONDO:0001083
MONDO:0000028	MONDO:0013229
MONDO:0000031	MONDO:0013209
MONDO:0000033	MONDO:0016643
MONDO:0000040	MONDO:0016543
MONDO:0000041	MONDO:0016596
MONDO:0000043	MONDO:0018100
MONDO:0000047	MONDO:0003947
MONDO:0000048	MONDO:0001341
MONDO:0000055	MONDO:0004985
MONDO:0000056	MONDO:0016584
MONDO:0000059	MONDO:0016826
MONDO:0000061	MONDO:0016660
MONDO:0000063	MONDO:0020480
MONDO:0000064	MONDO:0016073
MONDO:0000067	MONDO:0018158
MONDO:0000068	MONDO:0019248
MONDO:0000069	MONDO:0017169
MONDO:0000071	MONDO:0018943
MONDO:0000073	MONDO:0019284
MONDO:0000074	MONDO:0018307
MONDO:0000075	MONDO:0018894
MONDO:0000077	MONDO:0005712
MONDO:0000080	MONDO:0010704
MONDO:0000081	MONDO:0009299
MONDO:0000083	MONDO:0018306
MONDO:0000084	MONDO:0015999
MONDO:0000085	MONDO:0013099
MONDO:0000086	MONDO:0017425
MONDO:0000089	MONDO:0005562
MONDO:0000091	MONDO:0019490
MONDO:0000092	MONDO:0001560
MONDO:0000093	MONDO:0859050
MONDO:0000095	MONDO:0016576
MONDO:0000096	MONDO:0012580
MONDO:0000098	MONDO:0019201
MONDO:0000101	MONDO:0018891
MONDO:0000103	MONDO:0019004
MONDO:0000109	MONDO:0000720
MONDO:0000112	MONDO:0015487
MONDO:0000116	MONDO:0000904
MONDO:0000117	MONDO:0000824
MONDO:0000120	MONDO:0015998
MONDO:0000121	MONDO:0005024
MONDO:0000122	MONDO:0011090
MONDO:0000123	MONDO:0018175
MONDO:0000124	MONDO:0018363
MONDO:0000126	MONDO:0001056
MONDO:0000134	MONDO:0000507
MONDO:0000135	MONDO:0016516
MONDO:0000139	MONDO:0017950
MONDO:0000140	MONDO:0016558
MONDO:0000142	MONDO:0019042
MONDO:0000146	MONDO:0015333
MONDO:0000149	MONDO:0005283
MONDO:0000150	MONDO:0016763
MONDO:0000163	MONDO:0100526
MONDO:0000164	MONDO:0005321
MONDO:0000165	MONDO:0013311
MONDO:0000168	MONDO:0019181
MONDO:0000175	MONDO:0011457
MONDO:0000176	MONDO:0019375
MONDO:0000180	MONDO:0017411
MONDO:0000183	MONDO:0016620
MONDO:0000184	MONDO:0015722
MONDO:0000186	MONDO:0019675
MONDO:0000187	MONDO:0010004
MONDO:0000194	MONDO:0008163
MONDO:0000195	MONDO:0015281
MONDO:0000197	MONDO:0008429
MONDO:0000199	MONDO:0021055
MONDO:0000201	MONDO:0017896
MONDO:0000203	MONDO:0017910
MONDO:0000207	MONDO:0014176
MONDO:0000215	MONDO:0020310
MONDO:0000217	MONDO:0010593
MONDO:0000219	MONDO:0008621
MONDO:0000220	MONDO:0019503
MONDO:0000223	MONDO:0017941
MONDO:0000228	MONDO:0005677
MONDO:0000235	MONDO:0019359
MONDO:0000237	MONDO:0006752
MONDO:0000246	MONDO:0019378
MONDO:0000247	MONDO:0015540
MONDO:0000258	MONDO:0015805
MONDO:0000260	MONDO:0016575
MONDO:0000264	MONDO:0020487
MONDO:0000267	MONDO:0015264
MONDO:0000268	MONDO:0009537
MONDO:0000269	MONDO:0016595
MONDO:0000272	MONDO:0010012
MONDO:0000274	MONDO:0017572
MONDO:0000277	MONDO:0017874
MONDO:0000278	MONDO:0017875
MONDO:0000279	MONDO:0017876
MONDO:0000280	MONDO:0017877
MONDO:0000281	MONDO:0017878
MONDO:0000285	MONDO:0017872
MONDO:0000287	MONDO:0018556
MONDO:0000289	MONDO:0018039
MONDO:0000296	MONDO:0019143
MONDO:0000300	MONDO:0019498
MONDO:0000305	MONDO:0016426
MONDO:0000311	MONDO:0018612
MONDO:0000312	MONDO:0023069
MONDO:0000317	MONDO:0016453
MONDO:0000318	MONDO:0015803
MONDO:0000319	MONDO:0015804
MONDO:0000322	MONDO:0018984
MONDO:0000323	MONDO:0008279
MONDO:0000324	MONDO:0020088
MONDO:0000325	MONDO:0016471
MONDO:0000326	MONDO:0018838
MONDO:0000329	MONDO:0019362
MONDO:0000347	MONDO:0019471
MONDO:0000349	MONDO:0019011
MONDO:0000350	MONDO:0018778
MONDO:0000352	MONDO:0015364
MONDO:0000353	MONDO:0019663
MONDO:0000354	MONDO:0017959
MONDO:0000356	MONDO:0019523
MONDO:0000357	MONDO:0018097
MONDO:0000360	MONDO:0016001
MONDO:0000361	MONDO:0010924
MONDO:0000362	MONDO:0009032
MONDO:0000364	MONDO:0018542
MONDO:0000366	MONDO:0018251
MONDO:0000370	MONDO:0006094
MONDO:0000391	MONDO:0008029
MONDO:0000392	MONDO:0016011
MONDO:0000394	MONDO:0016011
MONDO:0000398	MONDO:0004379
MONDO:0000399	MONDO:0022697
MONDO:0000401	MONDO:0018841
MONDO:0000403	MONDO:0004992
MONDO:0000404	MONDO:0004992
MONDO:0000406	MONDO:0008891
MONDO:0000417	MONDO:0010826
MONDO:0000418	MONDO:0100062
MONDO:0000419	MONDO:0018950
MONDO:0000420	MONDO:0013110
MONDO:0000422	MONDO:0002412
MONDO:0000423	MONDO:0018151
MONDO:0000424	MONDO:0019220
MONDO:0000427	MONDO:0006025
MONDO:0000431	MONDO:0018876
MONDO:0000433	MONDO:0006495
MONDO:0000434	MONDO:0000430
MONDO:0000435	MONDO:0006431
MONDO:0000436	MONDO:0019469
MONDO:0000438	MONDO:0018996
MONDO:0000439	MONDO:0019262
MONDO:0000441	MONDO:0010684
MONDO:0000442	MONDO:0007100
MONDO:0000443	MONDO:0007068
MONDO:0000444	MONDO:0017123
MONDO:0000445	MONDO:0016987
MONDO:0000449	MONDO:0017138
MONDO:0000454	MONDO:0017923
MONDO:0000464	MONDO:0019353
MONDO:0000472	MONDO:0006955
MONDO:0000475	MONDO:0019238
MONDO:0000484	MONDO:0019771
MONDO:0000493	MONDO:0008633
MONDO:0000501	MONDO:0010578
MONDO:0000504	MONDO:0018906
MONDO:0000505	MONDO:0000402
MONDO:0000506	MONDO:0010913
MONDO:0000511	MONDO:0006216
MONDO:0000512	MONDO:0017795
MONDO:0000522	MONDO:0015798
MONDO:0000523	MONDO:0006172
MONDO:0000526	MONDO:0006091
MONDO:0000528	MONDO:0005008
MONDO:0000529	MONDO:0005484
MONDO:0000533	MONDO:0015867
MONDO:0000535	MONDO:0006470
MONDO:0000537	MONDO:0006181
MONDO:0000538	MONDO:0006466
MONDO:0000542	MONDO:0006187
MONDO:0000546	MONDO:0006356
MONDO:0000547	MONDO:0005211
MONDO:0000555	MONDO:0017324
MONDO:0000556	MONDO:0015244
MONDO:0000557	MONDO:0100309
MONDO:0000558	MONDO:0017845
MONDO:0000559	MONDO:0016612
MONDO:0000560	MONDO:0010847
MONDO:0000561	MONDO:0011694
MONDO:0000564	MONDO:0009133
MONDO:0000566	MONDO:0005567
MONDO:0000567	MONDO:0007361
MONDO:0000570	MONDO:0011225
MONDO:0000571	MONDO:0012426
MONDO:0000574	MONDO:0015702
